Year,Temperature,Precipitation,Humidity,Solar_Radiation
1990,17.82478070175438,44.49905263157894,11.482412280701753,20.186114035087716
1991,18.32064035087719,36.42473684210526,10.948438596491227,20.751605263157895
1992,18.271350877192983,35.83652631578947,10.859394736842106,20.537921052631578
1993,17.989491228070175,38.08652631578947,10.878315789473683,20.632008771929822
1994,18.2794649122807,44.73105263157895,11.013043859649121,21.08035087719298
1995,17.97883333333333,41.65031578947368,11.286921052631577,20.509228070175435
1996,17.901991228070173,39.834315789473685,11.149622807017543,20.241131578947364
1997,18.28985087719298,49.45199999999999,11.040815789473683,20.47869298245614
1998,17.918666666666667,43.05926315789473,11.915833333333332,20.07435087719298
1999,18.630807017543855,28.573999999999998,10.454412280701753,20.84573684210526
2000,18.912938596491227,22.299894736842102,10.126640350877192,21.31501754385965
2001,18.34621929824561,40.33515789473684,11.092228070175437,20.18807894736842
2002,18.59985087719298,37.50852631578947,11.071921052631579,20.52221052631579
2003,18.500122807017544,36.68315789473684,11.034368421052632,20.91178947368421
2004,18.87163157894737,30.712210526315786,10.964570175438595,20.596324561403506
2005,19.136745614035085,24.982631578947366,10.639298245614034,20.866517543859647
2006,18.867798245614033,39.13810526315789,11.170201754385964,20.310999999999996
2007,18.45788596491228,33.95736842105263,11.293894736842105,20.421622807017542
2008,18.691131578947367,29.273999999999997,10.868192982456138,20.78898245614035
2009,19.20300877192982,28.402736842105263,10.803929824561402,21.242728070175435
2010,18.418657894736842,40.36831578947368,11.609842105263157,20.0309649122807
2011,18.678956140350877,39.36210526315789,11.182219298245613,20.65538596491228
2012,18.360570175438593,40.10905263157895,11.15204385964912,20.832570175438594
2013,18.48483333333333,36.14326315789474,11.421368421052632,20.36628947368421
2014,18.922210526315787,29.260105263157893,11.294719298245612,20.643017543859646
2015,18.92255263157895,46.20926315789473,11.26401754385965,21.146719298245614
2016,18.63507894736842,36.444631578947366,11.581517543859647,20.46785087719298
2017,18.826921052631576,41.838736842105256,11.308921052631577,21.321403508771926
2018,17.846508771929823,59.24894736842105,11.777307017543857,20.007763157894733
2019,19.041315789473682,49.653999999999996,11.735859649122807,20.855947368421052
2020,18.016184210526315,59.63778947368421,12.309561403508772,20.183728070175437
2021,18.40529824561403,40.432315789473684,11.52498245614035,20.185719298245612
2022,18.267842105263156,45.425368421052625,11.282877192982454,20.447192982456137
2023,18.5729649122807,60.58705263157894,11.871666666666664,20.559614035087716
2024,18.46252631578947,66.52473684210526,12.583184210526314,20.159131578947367
2025,18.43735087719298,52.21494736842104,11.885701754385964,18.818798245614033
