Year,Month,Temperature,Precipitation,Humidity,Solar_Radiation
1990,1,17.339052631578948,2.5212631578947367,11.015368421052631,21.74431578947368
1990,2,18.975263157894734,2.7490526315789467,11.806315789473683,21.03136842105263
1990,3,18.619368421052627,7.685473684210526,12.720421052631577,20.99336842105263
1990,4,18.36168421052631,8.640210526315789,13.25536842105263,19.754631578947368
1990,5,18.012526315789472,3.4897894736842106,12.680105263157893,20.46473684210526
1990,6,16.905263157894733,0.9269473684210526,11.002736842105262,19.06610526315789
1990,7,16.49473684210526,1.8211578947368416,10.182842105263157,17.738105263157895
1990,8,16.98715789473684,2.1452631578947368,10.30736842105263,17.50315789473684
1990,9,18.08063157894737,1.7141052631578948,10.053473684210525,21.582842105263158
1990,10,18.556,3.696736842105263,11.137263157894735,20.71252631578947
1990,11,18.082210526315784,5.523473684210525,12.147263157894736,21.18326315789474
1990,12,17.483473684210526,3.5855789473684205,11.480421052631579,20.45894736842105
1991,1,18.284526315789474,2.686631578947368,10.89736842105263,22.016105263157897
1991,2,19.45852631578947,0.7849473684210525,9.754315789473685,24.915263157894735
1991,3,19.882105263157893,3.374842105263158,10.502631578947367,23.49673684210526
1991,4,19.27536842105263,4.8042105263157895,12.029052631578946,21.363999999999997
1991,5,18.578631578947366,5.622947368421053,12.64757894736842,19.475263157894737
1991,6,17.697684210526315,2.5769473684210524,11.457789473684208,17.922842105263154
1991,7,16.57557894736842,2.056421052631579,10.30336842105263,16.67336842105263
1991,8,17.319894736842105,2.8276842105263156,10.468631578947367,18.753894736842103
1991,9,18.06936842105263,1.521052631578947,9.834947368421052,21.660842105263153
1991,10,18.667052631578944,3.1793684210526307,10.583684210526316,21.534315789473684
1991,11,17.968,4.525999999999999,11.755263157894737,20.661473684210527
1991,12,18.070947368421052,2.4636842105263157,11.146631578947368,20.54515789473684
1992,1,18.78463157894737,0.8078947368421051,10.330526315789474,22.535263157894736
1992,2,20.14894736842105,1.144736842105263,9.44957894736842,23.875052631578946
1992,3,20.690105263157893,1.2166315789473685,10.061684210526316,23.85726315789473
1992,4,19.519052631578948,6.82778947368421,12.60557894736842,21.118105263157897
1992,5,18.320105263157892,3.7789473684210524,11.913157894736841,20.024842105263158
1992,6,17.403052631578944,2.477684210526316,11.06221052631579,17.376
1992,7,16.560210526315792,2.810210526315789,10.298105263157895,17.126842105263155
1992,8,16.545684210526314,2.8404210526315787,9.901473684210526,18.147473684210524
1992,9,17.465263157894736,2.1922105263157894,10.111684210526315,20.980736842105262
1992,10,18.102842105263154,4.47778947368421,11.114421052631576,20.705157894736843
1992,11,17.82273684210526,3.3674736842105255,11.487052631578946,20.768526315789472
1992,12,17.893578947368418,3.8947368421052624,11.977263157894734,19.939789473684208
1993,1,17.497473684210522,5.637052631578947,11.685368421052631,18.961368421052633
1993,2,18.097263157894734,2.324315789473684,11.16157894736842,21.295894736842104
1993,3,19.09884210526316,2.310631578947368,10.350526315789471,24.646210526315787
1993,4,19.27842105263158,3.5176842105263155,11.504842105263158,21.574736842105263
1993,5,18.342631578947366,5.301473684210526,12.196631578947368,20.103263157894734
1993,6,17.014210526315786,3.242736842105263,11.13378947368421,17.873263157894737
1993,7,16.24452631578947,1.7572631578947366,9.770736842105261,17.437052631578947
1993,8,16.73494736842105,2.151157894736842,9.576105263157896,19.48231578947368
1993,9,17.978421052631578,1.128736842105263,9.103789473684207,22.420842105263155
1993,10,18.91957894736842,2.6733684210526314,10.309894736842104,21.93631578947368
1993,11,18.50010526315789,5.065894736842105,11.897157894736843,20.86957894736842
1993,12,18.167473684210524,2.976210526315789,11.849368421052633,20.983263157894733
1994,1,19.14915789473684,0.7432631578947367,9.899263157894735,23.25536842105263
1994,2,19.935157894736843,1.6081052631578945,9.483894736842103,23.780000000000005
1994,3,20.10673684210526,3.5304210526315787,10.760842105263157,23.949789473684206
1994,4,19.547473684210527,5.8350526315789475,12.106526315789473,21.900526315789474
1994,5,17.833052631578944,5.686105263157894,12.16273684210526,20.07915789473684
1994,6,17.130210526315786,2.788947368421052,11.144315789473684,18.94463157894737
1994,7,16.426105263157893,2.5872631578947365,10.37757894736842,18.32873684210526
1994,8,16.994,2.575894736842105,10.272210526315789,17.993473684210525
1994,9,18.064315789473685,1.7090526315789472,10.092631578947367,22.028631578947365
1994,10,18.901473684210526,3.7168421052631575,11.185578947368422,22.264631578947366
1994,11,18.009684210526316,9.82736842105263,12.905263157894735,19.72557894736842
1994,12,17.256210526315787,4.122736842105263,11.765684210526315,20.713684210526313
1995,1,17.65978947368421,1.1058947368421053,9.789263157894736,23.449473684210524
1995,2,19.227684210526313,1.7817894736842104,10.816105263157894,23.538842105263157
1995,3,18.705473684210528,6.067894736842105,11.750631578947367,22.29915789473684
1995,4,19.277578947368422,5.891894736842105,12.45757894736842,20.986526315789472
1995,5,18.09842105263158,5.502105263157894,12.594736842105263,19.88515789473684
1995,6,17.25263157894737,2.6075789473684208,11.250315789473683,19.06284210526316
1995,7,16.561999999999998,1.811684210526316,10.566631578947367,16.545157894736843
1995,8,17.221473684210522,2.0557894736842104,10.152526315789473,18.793052631578945
1995,9,17.897157894736843,2.546315789473684,10.60421052631579,20.62557894736842
1995,10,18.27052631578947,5.122736842105263,11.461052631578944,19.966842105263154
1995,11,17.844842105263158,4.535684210526315,12.30978947368421,20.747684210526316
1995,12,17.728421052631575,2.620947368421052,11.690210526315788,20.210421052631578
1996,1,17.950631578947366,2.160315789473684,10.74957894736842,22.210421052631574
1996,2,18.97084210526316,3.2875789473684205,10.84021052631579,23.195473684210523
1996,3,19.504105263157893,5.2107368421052636,12.09515789473684,22.296315789473677
1996,4,18.81347368421052,3.9431578947368418,12.225263157894735,22.463684210526313
1996,5,18.241789473684207,3.6876842105263155,12.00936842105263,19.393263157894737
1996,6,16.77673684210526,3.523789473684211,11.31115789473684,15.371684210526317
1996,7,16.227894736842103,3.5996842105263154,10.456736842105261,15.670842105263157
1996,8,16.80557894736842,2.665263157894737,10.32536842105263,18.655894736842104
1996,9,17.81357894736842,2.0426315789473684,10.715473684210526,21.158947368421046
1996,10,18.134105263157892,1.853157894736842,10.360736842105263,21.921263157894735
1996,11,17.913263157894736,6.514315789473684,11.871473684210525,18.68021052631579
1996,12,17.671894736842102,1.3459999999999999,10.834947368421053,21.87557894736842
1997,1,18.711999999999996,0.995578947368421,9.78778947368421,23.085789473684205
1997,2,19.791578947368418,0.20463157894736841,7.758105263157893,26.111789473684205
1997,3,20.739894736842103,2.3764210526315788,10.292947368421052,23.382631578947368
1997,4,18.56073684210526,10.63052631578947,12.896631578947368,19.919052631578946
1997,5,17.53821052631579,3.2653684210526315,11.979157894736842,20.665368421052627
1997,6,17.370631578947364,1.9061052631578945,11.316631578947367,18.079052631578946
1997,7,16.764,2.4425263157894737,10.752105263157896,16.357894736842105
1997,8,17.298,2.0512631578947365,10.248736842105263,19.68378947368421
1997,9,19.00263157894737,0.6538947368421052,9.633578947368422,23.425052631578946
1997,10,18.524526315789473,7.3655789473684194,11.85536842105263,19.37157894736842
1997,11,17.78431578947368,11.074631578947368,13.12715789473684,17.241894736842102
1997,12,17.391684210526314,6.4854736842105245,12.841578947368419,18.42042105263158
1998,1,17.71747368421053,8.580736842105262,13.091263157894733,18.172631578947367
1998,2,18.33115789473684,3.961263157894737,12.436526315789473,22.128947368421052
1998,3,18.891157894736843,2.662421052631579,12.697052631578945,23.272210526315792
1998,4,19.471052631578946,4.6558947368421055,13.882526315789473,21.28347368421052
1998,5,18.24136842105263,7.642526315789473,13.37494736842105,20.449052631578944
1998,6,16.834421052631576,3.1362105263157893,11.90821052631579,17.614842105263154
1998,7,16.014631578947366,2.7314736842105263,11.077894736842106,15.797263157894736
1998,8,16.547894736842107,1.665473684210526,10.816736842105263,17.257263157894737
1998,9,17.739894736842103,1.2766315789473683,10.626210526315788,21.324631578947365
1998,10,18.407684210526316,1.9959999999999998,10.869473684210526,21.945263157894733
1998,11,18.146105263157892,4.18957894736842,11.677052631578945,19.614526315789472
1998,12,18.681157894736845,0.5610526315789472,10.532105263157893,22.03210526315789
1999,1,19.00873684210526,0.898736842105263,9.820526315789472,23.14336842105263
1999,2,20.16168421052631,0.25631578947368416,8.468947368421052,25.465263157894736
1999,3,19.896842105263158,5.326210526315789,11.62557894736842,21.961473684210524
1999,4,19.210210526315787,3.725157894736842,12.164947368421052,21.769263157894734
1999,5,18.502736842105257,1.5183157894736843,11.277789473684209,21.217368421052626
1999,6,18.02136842105263,0.7329473684210525,9.799473684210525,18.595368421052626
1999,7,17.263999999999996,1.741894736842105,9.599157894736841,17.05421052631579
1999,8,17.559894736842104,1.8672631578947367,9.799684210526314,18.15515789473684
1999,9,18.69,1.4948421052631577,9.423894736842104,21.650736842105267
1999,10,19.20894736842105,1.6385263157894736,9.68,21.64210526315789
1999,11,18.239368421052628,6.595052631578946,11.919999999999998,19.315473684210524
1999,12,17.805894736842102,2.778736842105263,11.872947368421052,20.179052631578944
2000,1,18.713052631578947,0.39252631578947367,9.222736842105261,24.139684210526312
2000,2,19.936631578947367,0.36515789473684207,7.8929473684210505,26.493263157894734
2000,3,20.786105263157893,1.105578947368421,10.203684210526315,24.275157894736843
2000,4,19.995052631578947,2.485894736842105,11.257578947368419,22.509473684210526
2000,5,19.44757894736842,1.513052631578947,10.890736842105262,20.45778947368421
2000,6,18.123052631578943,1.116736842105263,9.986736842105264,18.030947368421053
2000,7,17.414526315789473,1.7471578947368422,9.701368421052631,17.898
2000,8,17.489052631578947,2.6024210526315783,9.71,18.532210526315787
2000,9,18.45315789473684,1.7947368421052632,9.724631578947369,21.644315789473684
2000,10,19.227157894736845,2.0996842105263154,9.987789473684208,21.987263157894734
2000,11,18.666631578947367,4.281894736842105,11.793052631578947,18.72684210526316
2000,12,18.703263157894735,2.795052631578947,11.14842105263158,21.085263157894733
2001,1,18.23,5.329473684210526,11.258315789473682,19.92957894736842
2001,2,19.480842105263154,0.9746315789473683,10.064,24.60084210526316
2001,3,19.72915789473684,4.261473684210526,10.538421052631579,22.52010526315789
2001,4,19.155473684210524,5.8257894736842095,12.56757894736842,20.57873684210526
2001,5,18.683999999999997,2.9282105263157887,11.996842105263156,19.976210526315782
2001,6,17.34610526315789,2.40978947368421,10.919894736842103,17.389894736842102
2001,7,16.84052631578947,2.4445263157894734,10.418315789473683,16.316526315789474
