Variable,Mean,Std,CV%,Skewness,Normal
Yield_Kg_Ha,398.60857142857145,109.41191292119716,27.44845965782329,0.7910791078149214,No
Temperature,18.48158947368421,0.3775190507847165,2.042676314838953,-0.01951023981305449,Yes
Precipitation,40.476778947368416,10.031384263870954,24.78305963257272,0.7040614339080891,Yes
Humidity,11.256986967418547,0.4838590149337707,4.298299503536952,0.4770816182665555,Yes
Solar_Radiation,20.58184887218045,0.36705999638357956,1.7834160510221113,0.3797974868530235,Yes
